iter	Passed	Remaining
0	132	132727
1	134	67069
2	135	45103
3	137	34156
4	138	27598
5	140	23218
6	141	20093
7	143	17739
8	144	15912
9	146	14459
10	147	13257
11	148	12264
12	150	11429
13	152	10705
14	153	10076
15	154	9517
16	156	9022
17	157	8583
18	158	8192
19	159	7838
20	161	7525
21	162	7233
22	164	6968
23	165	6729
24	166	6509
25	168	6306
26	169	6117
27	171	5941
28	172	5776
29	173	5622
30	175	5479
31	176	5341
32	177	5212
33	179	5095
34	180	4985
35	182	4880
36	183	4784
37	185	4689
38	186	4606
39	188	4521
40	189	4440
41	191	4364
42	192	4289
43	194	4218
44	195	4152
45	197	4089
46	198	4032
47	200	3974
48	201	3919
49	203	3864
50	204	3813
51	206	3765
52	207	3716
53	209	3666
54	210	3622
55	212	3574
56	213	3531
57	215	3491
58	216	3455
59	217	3414
60	219	3376
61	220	3341
62	222	3306
63	223	3271
64	225	3237
65	226	3204
66	227	3171
67	228	3133
68	230	3103
69	231	3074
70	232	3045
71	234	3019
72	235	2993
73	237	2972
74	239	2948
75	240	2924
76	242	2903
77	243	2883
78	245	2866
79	247	2842
80	248	2818
81	250	2799
82	251	2779
83	253	2759
84	254	2735
85	255	2717
86	256	2693
87	258	2677
88	259	2660
89	261	2641
90	262	2621
91	263	2602
92	264	2583
93	266	2568
94	267	2550
95	269	2533
96	270	2516
97	271	2499
98	273	2485
99	274	2470
100	275	2454
101	276	2433
102	277	2418
103	278	2403
104	280	2388
105	281	2374
106	282	2359
107	283	2345
108	285	2331
109	286	2317
110	287	2304
111	289	2294
112	290	2280
113	291	2267
114	293	2255
115	294	2240
116	295	2228
117	296	2216
118	297	2202
119	298	2191
120	300	2179
121	301	2167
122	301	2153
123	303	2144
124	304	2133
125	306	2123
126	307	2112
127	308	2099
128	309	2088
129	310	2079
130	311	2069
131	313	2059
132	314	2049
133	315	2039
134	316	2030
135	318	2021
136	319	2012
137	320	2002
138	321	1993
139	323	1985
140	324	1976
141	325	1969
142	327	1962
143	328	1954
144	330	1946
145	331	1939
146	333	1933
147	334	1925
148	335	1917
149	336	1909
150	338	1901
151	339	1893
152	342	1897
153	344	1890
154	345	1882
155	346	1876
156	348	1870
157	349	1862
158	350	1855
159	351	1847
160	353	1840
161	354	1833
162	355	1826
163	356	1819
164	358	1812
165	359	1805
166	360	1798
167	362	1792
168	363	1786
169	364	1781
170	366	1774
171	367	1767
172	368	1762
173	369	1756
174	371	1750
175	372	1743
176	373	1737
177	374	1731
178	376	1726
179	378	1722
180	378	1713
181	380	1708
182	381	1703
183	382	1698
184	384	1693
185	385	1688
186	387	1683
187	388	1677
188	389	1672
189	391	1667
190	392	1662
191	394	1658
192	395	1654
193	397	1649
194	398	1645
195	399	1640
196	401	1635
197	402	1631
198	404	1626
199	405	1622
200	406	1617
201	408	1612
202	409	1608
203	410	1603
204	412	1597
205	413	1593
206	414	1588
207	415	1583
208	417	1580
209	418	1576
210	420	1572
211	421	1567
212	423	1563
213	424	1559
214	425	1554
215	427	1550
216	428	1547
217	430	1543
218	431	1538
219	432	1534
220	433	1529
221	435	1525
222	436	1520
223	437	1517
224	439	1513
225	440	1509
226	441	1504
227	443	1500
228	444	1496
229	445	1491
230	446	1487
231	448	1483
232	449	1479
233	450	1475
234	452	1471
235	453	1468
236	455	1464
237	456	1461
238	458	1458
239	459	1455
240	461	1452
241	462	1449
242	464	1447
243	465	1443
244	467	1440
245	468	1436
246	470	1433
247	471	1431
248	473	1428
249	475	1425
250	476	1421
251	477	1417
252	478	1414
253	480	1410
254	481	1406
255	482	1403
256	484	1400
257	486	1399
258	488	1396
259	489	1393
260	490	1389
261	492	1386
262	493	1383
263	494	1379
264	496	1377
265	498	1374
266	499	1372
267	501	1369
268	502	1366
269	504	1363
270	505	1360
271	507	1357
272	508	1353
273	509	1350
274	511	1348
275	513	1345
276	514	1343
277	516	1340
278	517	1337
279	519	1334
280	520	1332
281	522	1329
282	523	1327
283	525	1324
284	527	1322
285	528	1319
286	529	1316
287	531	1313
288	532	1310
289	534	1308
290	535	1305
291	537	1302
292	538	1300
293	540	1297
294	541	1294
295	543	1292
296	545	1290
297	546	1287
298	547	1284
299	549	1281
300	550	1277
301	551	1274
302	552	1271
303	554	1268
304	555	1265
305	556	1262
306	558	1259
307	559	1257
308	561	1254
309	562	1252
310	564	1249
311	565	1246
312	566	1243
313	568	1241
314	569	1238
315	571	1236
316	572	1234
317	574	1231
318	575	1229
319	576	1225
320	578	1223
321	579	1220
322	580	1217
323	582	1214
324	583	1212
